Wall time,Step,Value
1647137556.440378,1450999,-328.6000061035156
1647137598.035434,1452999,-329.20001220703125
1647137618.61411,1453999,-330.3999938964844
1647137659.981198,1455999,-335.20001220703125
1647137701.408357,1457999,-373.6000061035156
1647137721.975734,1458999,-309.3999938964844
1647137783.80764,1461999,-422.20001220703125
1647137928.176977,1468999,-342.3999938964844
1647137948.897379,1469999,-328.0
1647138072.880505,1475999,-332.79998779296875
1647138114.551653,1477999,-359.79998779296875
1647138135.231583,1478999,-332.20001220703125
1647138176.909022,1480999,-389.79998779296875
1647138197.514384,1481999,-382.0
1647138239.06769,1483999,-362.79998779296875
1647138280.652464,1485999,-302.20001220703125
1647138342.923672,1488999,-305.79998779296875
1647138425.726342,1492999,-380.20001220703125
1647138446.358963,1493999,-411.3999938964844
1647138467.083372,1494999,-358.0
1647138487.646121,1495999,-331.0
1647138508.389711,1496999,-323.20001220703125
1647138529.106267,1497999,-470.79998779296875
1647138549.811479,1498999,-318.3999938964844
1647138570.535407,1499999,-535.0
1647138611.765777,1501999,-294.3999938964844
1647138632.53466,1502999,-361.6000061035156
1647138653.267694,1503999,-432.3999938964844
1647138777.3537269,1509999,-323.20001220703125
1647138798.092619,1510999,-443.79998779296875
1647138818.735207,1511999,-467.20001220703125
1647138880.610289,1514999,-379.0
1647138922.156421,1516999,-373.0
1647139025.699753,1521999,-335.79998779296875
1647139046.27697,1522999,-283.6000061035156
1647139066.95101,1523999,-277.0
1647139129.087592,1526999,-339.3999938964844
1647139253.212851,1532999,-305.20001220703125
1647139336.065266,1536999,-309.3999938964844
1647139377.460131,1538999,-383.20001220703125
1647139584.577741,1548999,-411.3999938964844
1647139750.635597,1556999,-370.0
1647139833.069824,1560999,-333.3999938964844
1647140019.686027,1569999,-466.0
1647140040.423698,1570999,-372.3999938964844
1647140061.010335,1571999,-494.20001220703125
1647140123.132181,1574999,-423.3999938964844
1647140226.680115,1579999,-418.0
1647140268.101994,1581999,-333.3999938964844
1647140309.498751,1583999,-346.6000061035156
1647140598.751283,1597999,-354.3999938964844
1647140640.172014,1599999,-334.6000061035156
1647140702.00337,1602999,-187.1999969482422
1647140743.346665,1604999,-419.79998779296875
1647140784.660971,1606999,-352.6000061035156
1647140888.084426,1611999,-356.79998779296875
1647140908.835673,1612999,-438.3999938964844
1647140929.481655,1613999,-331.0
1647140950.188872,1614999,-373.6000061035156
1647140991.4977002,1616999,-340.0
1647141074.4616723,1620999,-338.79998779296875
1647141136.482419,1623999,-343.6000061035156
1647141177.997041,1625999,-419.20001220703125
1647141240.0395432,1628999,-355.0
1647141260.867342,1629999,-337.0
1647141281.583301,1630999,-357.3999938964844
1647141323.092169,1632999,-358.6000061035156
1647141343.831601,1633999,-330.3999938964844
1647141364.545062,1634999,-326.20001220703125
1647141426.906531,1637999,-353.79998779296875
1647141489.074942,1640999,-295.6000061035156
1647141551.209313,1643999,-436.6000061035156
1647141571.890668,1644999,-404.79998779296875
1647141592.518566,1645999,-337.6000061035156
1647141613.238471,1646999,-337.0
1647141633.898808,1647999,-382.6000061035156
1647141675.175321,1649999,-475.0
1647141737.168089,1652999,-362.79998779296875
1647141757.828358,1653999,-350.79998779296875
1647141840.707888,1657999,-350.20001220703125
1647141964.963511,1663999,-443.20001220703125
1647141985.585431,1664999,-436.0
1647142006.238888,1665999,-365.79998779296875
1647142026.8637462,1666999,-352.0
1647142047.470142,1667999,-373.6000061035156
1647142088.949252,1669999,-328.0
1647142151.175688,1672999,-373.6000061035156
1647142171.902712,1673999,-379.6000061035156
1647142192.752593,1674999,-319.0
1647142275.687165,1678999,-375.3999938964844
1647142337.848866,1681999,-340.0
1647142400.047681,1684999,-403.0
1647142420.76637,1685999,-260.79998779296875
1647142462.217471,1687999,-326.79998779296875
1647142503.678703,1689999,-385.6000061035156
1647142524.450878,1690999,-314.79998779296875
1647142565.8609548,1692999,-320.79998779296875
1647142607.2148,1694999,-387.3999938964844
1647142627.932539,1695999,-371.79998779296875
1647142689.822458,1698999,-350.79998779296875
1647142710.424942,1699999,-345.3999938964844
1647142854.758412,1706999,-544.0
1647142916.831159,1709999,-340.0
1647142937.508225,1710999,-327.3999938964844
1647142978.723572,1712999,-397.6000061035156
1647142999.379408,1713999,-319.6000061035156
1647143019.977957,1714999,-368.20001220703125
1647143040.679692,1715999,-412.0
1647143081.959448,1717999,-376.0
1647143143.784951,1720999,-335.20001220703125
1647143205.895584,1723999,-337.0
1647143268.15052,1726999,-428.79998779296875
1647143309.545861,1728999,-270.3999938964844
1647143350.939868,1730999,-309.3999938964844
1647143392.595384,1732999,-336.3999938964844
1647143413.162245,1733999,-285.3999938964844
1647143433.931389,1734999,-348.3999938964844
1647143454.642758,1735999,-347.79998779296875
1647143558.0023518,1740999,-324.3999938964844
1647143578.6955378,1741999,-406.0
1647143599.330678,1742999,-354.3999938964844
1647143620.073696,1743999,-324.3999938964844
1647143640.88552,1744999,-276.3999938964844
1647143661.499392,1745999,-413.20001220703125
1647143702.763598,1747999,-303.3999938964844
1647143723.533623,1748999,-319.6000061035156
1647143868.356021,1755999,-422.20001220703125
1647143909.774446,1757999,-320.20001220703125
1647143992.612438,1761999,-460.6000061035156
1647144075.305158,1765999,-293.79998779296875
1647144116.691305,1767999,-458.79998779296875
1647144178.530327,1770999,-379.6000061035156
1647144199.176715,1771999,-308.79998779296875
1647144240.653806,1773999,-322.0
1647144261.275166,1774999,-373.6000061035156
1647144281.926739,1775999,-378.3999938964844
1647144364.170445,1779999,-365.79998779296875
1647144426.191919,1782999,-353.79998779296875
1647144467.397881,1784999,-397.6000061035156
1647144529.3701718,1787999,-339.3999938964844
1647144550.085857,1788999,-289.6000061035156
1647144591.562743,1790999,-278.79998779296875
1647144632.890063,1792999,-363.3999938964844
1647144653.570163,1793999,-311.20001220703125
1647144674.289337,1794999,-427.0
1647144839.550897,1802999,-383.79998779296875
1647144860.210205,1803999,-278.20001220703125
1647144943.13685,1807999,-262.6000061035156
1647144984.398321,1809999,-287.20001220703125
1647145005.00192,1810999,-347.79998779296875
1647145025.597699,1811999,-481.0
1647145128.695684,1816999,-327.3999938964844
1647145190.489947,1819999,-359.79998779296875
1647145211.139585,1820999,-386.20001220703125
1647145293.918869,1824999,-282.3999938964844
1647145314.537675,1825999,-361.6000061035156
1647145335.239994,1826999,-330.3999938964844
1647145397.087522,1829999,-367.0
1647145438.400548,1831999,-453.3999938964844
1647145479.908411,1833999,-341.20001220703125
1647145521.092463,1835999,-367.6000061035156
1647145562.433673,1837999,-397.0
1647145686.699657,1843999,-298.6000061035156
1647145707.329953,1844999,-289.0
1647145728.132882,1845999,-316.0
1647145748.761431,1846999,-302.20001220703125
1647145769.407442,1847999,-311.79998779296875
1647145790.07776,1848999,-389.79998779296875
1647145810.710339,1849999,-328.6000061035156
1647145872.673142,1852999,-292.6000061035156
1647145914.031658,1854999,-334.0
1647145955.3608,1856999,-387.3999938964844
1647145996.545207,1858999,-406.6000061035156
1647146017.166014,1859999,-453.3999938964844
1647146058.499403,1861999,-295.0
1647146079.303513,1862999,-300.3999938964844
1647146141.427906,1865999,-355.0
1647146203.753408,1868999,-370.6000061035156
